time,coin,price,signal,prediction
2025-04-30 23:22:22,BTC,94717.0,SELL,94243.41
2025-04-30 23:22:28,BTC,94719.9,SELL,94246.3
2025-04-30 23:23:19,BTC,94720.0,SELL,94246.4
2025-04-30 23:24:57,BTC,94720.0,SELL,94246.4
2025-04-30 23:24:57,BTC,94720.0,SELL,94246.4
2025-04-30 23:24:58,BTC,94720.0,SELL,94246.4
2025-04-30 23:24:58,BTC,94720.0,SELL,94246.4
2025-04-30 23:24:59,BTC,94720.0,BUY,95193.6
2025-04-30 23:24:59,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:00,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:00,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:01,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:01,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:02,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:02,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:03,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:03,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:04,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:04,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:05,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:05,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:05,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:06,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:06,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:07,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:07,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:08,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:08,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:08,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:09,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:09,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:10,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:10,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:11,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:11,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:12,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:12,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:12,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:13,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:13,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:13,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:14,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:15,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:15,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:15,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:16,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:16,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:17,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:17,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:18,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:18,BTC,94720.0,SELL,94246.4
2025-04-30 23:25:18,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:19,BTC,94720.0,BUY,95193.6
2025-04-30 23:25:19,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:20,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:20,BTC,94720.0,HOLD,94720.0
2025-04-30 23:25:21,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:21,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:21,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:22,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:22,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:23,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:23,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:24,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:24,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:25,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:25,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:26,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:26,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:27,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:27,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:28,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:28,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:29,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:29,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:29,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:30,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:30,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:31,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:31,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:32,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:32,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:32,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:33,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:33,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:34,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:34,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:36,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:36,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:48,BTC,94720.0,BUY,95193.6
2025-05-01 07:43:04,BTC,96100.0,BUY,96580.5
2025-05-01 07:43:45,BTC,96100.0,BUY,96580.5
2025-05-01 07:44:42,BTC,96111.6,HOLD,96111.6
